GROUP,ID,GENDER,AGE,INSTRUMENT_PLAYED,YEARS_MUSIC_TRAINING,MUSICAL_GENRE,COMPLEXITY,TEMPO,DRUMMER_EXPRESSIVENESS,DRUMMER_STYLE,MODALITY,perceived_expressiveness,emotional_valence,neutral,happiness,sadness,anger,fear,disgust,surprise
non-musician,1,female,24,none,0,jazz,complex,slow,expressive,open,audio,2,0,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,expressive,open,audiovideo,4,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,expressive,open,video,4,0,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,expressive,close,audio,2,0,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,expressive,close,audiovideo,3,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,expressive,close,video,3,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,neutral,open,audio,3,0,0,0,0,0,1,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,neutral,open,audiovideo,4,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,neutral,open,video,3,0,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,neutral,close,audio,2,0,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,neutral,close,audiovideo,3,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,slow,neutral,close,video,3,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,fast,expressive,open,audio,3,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,jazz,complex,fast,expressive,open,audiovideo,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,jazz,complex,fast,expressive,open,video,5,1,0,0,0,1,0,0,0
non-musician,1,female,24,none,0,jazz,complex,fast,expressive,close,audio,6,0,1,0,0,0,0,0,0
